CODAUTO;Comunidad Autónoma;CPRO;Provincia;ISO_3166-2_Code
01;Andalucía;04;Almería;ES-AL
01;Andalucía;11;Cádiz;ES-CA
01;Andalucía;14;Córdoba;ES-CO
01;Andalucía;18;Granada;ES-GR
01;Andalucía;21;Huelva;ES-H
01;Andalucía;23;Jaén;ES-J
01;Andalucía;29;Málaga;ES-MA
01;Andalucía;41;Sevilla;ES-SE
02;Aragón;22;Huesca;ES-HU
02;Aragón;44;Teruel;ES-TE
02;Aragón;50;Zaragoza;ES-Z
03;Asturias, Principado de;33;Asturias;ES-O
04;Balears, Illes;07;Balears, Illes;ES-PM
05;Canarias;35;Palmas, Las;ES-GC
05;Canarias;38;Santa Cruz de Tenerife;ES-TF
06;Cantabria;39;Cantabria;ES-S
07;Castilla y León;05;Ávila;ES-AV
07;Castilla y León;09;Burgos;ES-BU
07;Castilla y León;24;León;ES-LE
07;Castilla y León;34;Palencia;ES-P
07;Castilla y León;37;Salamanca;ES-SA
07;Castilla y León;40;Segovia;ES-SG
07;Castilla y León;42;Soria;ES-SO
07;Castilla y León;47;Valladolid;ES-VA
07;Castilla y León;49;Zamora;ES-ZA
08;Castilla-La Mancha;02;Albacete;ES-AB
08;Castilla-La Mancha;13;Ciudad Real;ES-CR
08;Castilla-La Mancha;16;Cuenca;ES-CU
08;Castilla-La Mancha;19;Guadalajara;ES-GU
08;Castilla-La Mancha;45;Toledo;ES-TO
09;Cataluña;08;Barcelona;ES-B
09;Cataluña;17;Girona;ES-GE
09;Cataluña;25;Lleida;ES-L
09;Cataluña;43;Tarragona;ES-T
10;Comunitat Valenciana;03;Alicante/Alacant;ES-A
10;Comunitat Valenciana;12;Castellón/Castelló;ES-CS
10;Comunitat Valenciana;46;Valencia/València;ES-V
11;Extremadura;06;Badajoz;ES-BA
11;Extremadura;10;Cáceres;ES-CC
12;Galicia;15;Coruña, A;ES-C
12;Galicia;27;Lugo;ES-LU
12;Galicia;32;Ourense;ES-OR
12;Galicia;36;Pontevedra;ES-PO
13;Madrid, Comunidad de;28;Madrid;ES-M
14;Murcia, Región de;30;Murcia;ES-MU
15;Navarra, Comunidad Foral de;31;Navarra;ES-NA
16;País Vasco;01;Araba/Álava;ES-VI
16;País Vasco;48;Bizkaia;ES-BI
16;País Vasco;20;Gipuzkoa;ES-SS
17;Rioja, La;26;Rioja, La;ES-LO
18;Ceuta;51;Ceuta;ES-CE
19;Melilla;52;Melilla;ES-ML
